name,layer,wc_r,wc_g,wc_b,num_splines,total_verts,bbmin_x,bbmin_y,bbmax_x,bbmax_y,width,height,center_x,center_y,area_approx
Layer:Site Plan$0$A-DOOR-EXT_WINDOWS,Site Plan$0$A-DOOR-EXT_WINDOWS,186,186,186,2,6,1.10452e+07,8.49033e+06,1.10453e+07,8.49036e+06,32.0,32.0,1.10452e+07,8.49034e+06,1024.0
Layer:Site Plan$0$A-DOOR-EXT_WINDOWS,Site Plan$0$A-DOOR-EXT_WINDOWS,186,186,186,2,6,1.1045e+07,8.49032e+06,1.1045e+07,8.49036e+06,32.0,32.0,1.1045e+07,8.49034e+06,1024.0
Layer:Site Plan$0$A-HVAC-EXT,Site Plan$0$A-HVAC-EXT,186,186,186,22,60,1.10451e+07,8.4903e+06,1.10451e+07,8.49033e+06,36.0,36.0,1.10451e+07,8.49032e+06,1296.0
Layer:Site Plan$0$A-HVAC-EXT,Site Plan$0$A-HVAC-EXT,186,186,186,22,60,1.10447e+07,8.49036e+06,1.10447e+07,8.4904e+06,36.0,36.0,1.10447e+07,8.49038e+06,1296.0
Layer:Site Plan$0$A-DOOR-EXT_WINDOWS,Site Plan$0$A-DOOR-EXT_WINDOWS,186,186,186,2,6,1.10446e+07,8.49034e+06,1.10447e+07,8.49037e+06,32.0,32.0,1.10446e+07,8.49035e+06,1024.0
Layer:Site Plan$0$A-DOOR,Site Plan$0$A-DOOR,186,186,186,2,6,1.10414e+07,8.48706e+06,1.10415e+07,8.48709e+06,32.0,32.0,1.10415e+07,8.48708e+06,1024.0
Layer:Site Plan$0$A-DOOR,Site Plan$0$A-DOOR,186,186,186,2,6,1.10415e+07,8.48678e+06,1.10415e+07,8.48682e+06,32.0,32.0,1.10415e+07,8.4868e+06,1024.0
Layer:Site Plan$0$A-DOOR,Site Plan$0$A-DOOR,186,186,186,2,6,1.10415e+07,8.48585e+06,1.10416e+07,8.48588e+06,32.0,32.0,1.10416e+07,8.48587e+06,1024.0
Layer:Site Plan$0$A-DOOR,Site Plan$0$A-DOOR,186,186,186,2,6,1.10415e+07,8.4856e+06,1.10415e+07,8.48563e+06,32.0,32.0,1.10415e+07,8.48561e+06,1024.0
Layer:Site Plan$0$A-DOOR,Site Plan$0$A-DOOR,186,186,186,2,6,1.10415e+07,8.48532e+06,1.10415e+07,8.48535e+06,32.0,32.0,1.10415e+07,8.48534e+06,1024.0
Layer:Site Plan$0$A-HVAC-EXT,Site Plan$0$A-HVAC-EXT,186,186,186,22,60,1.1042e+07,8.48703e+06,1.10421e+07,8.48706e+06,36.0,36.0,1.1042e+07,8.48704e+06,1296.0
Layer:Site Plan$0$A-DOOR-EXT_WINDOWS,Site Plan$0$A-DOOR-EXT_WINDOWS,186,186,186,2,6,1.1042e+07,8.48709e+06,1.10421e+07,8.48712e+06,32.0,32.0,1.10421e+07,8.48711e+06,1024.0
Layer:Site Plan$0$A-DOOR-EXT_WINDOWS,Site Plan$0$A-DOOR-EXT_WINDOWS,186,186,186,2,6,1.10421e+07,8.4867e+06,1.10421e+07,8.48673e+06,32.0,32.0,1.10421e+07,8.48671e+06,1024.0
Layer:Site Plan$0$A-HVAC-EXT,Site Plan$0$A-HVAC-EXT,186,186,186,22,60,1.10421e+07,8.48662e+06,1.10421e+07,8.48666e+06,36.0,36.0,1.10421e+07,8.48664e+06,1296.0
Layer:Site Plan$0$A-HVAC-EXT,Site Plan$0$A-HVAC-EXT,186,186,186,22,60,1.10421e+07,8.48656e+06,1.10421e+07,8.4866e+06,36.0,36.0,1.10421e+07,8.48658e+06,1296.0
Layer:Site Plan$0$A-DOOR-EXT_WINDOWS,Site Plan$0$A-DOOR-EXT_WINDOWS,186,186,186,2,6,1.10421e+07,8.48648e+06,1.10421e+07,8.48651e+06,32.0,32.0,1.10421e+07,8.4865e+06,1024.0
Layer:Site Plan$0$A-HVAC-EXT,Site Plan$0$A-HVAC-EXT,186,186,186,22,60,1.10421e+07,8.48611e+06,1.10421e+07,8.48614e+06,36.0,36.0,1.10421e+07,8.48613e+06,1296.0
Layer:Site Plan$0$A-DOOR-EXT_WINDOWS,Site Plan$0$A-DOOR-EXT_WINDOWS,186,186,186,2,6,1.10421e+07,8.48617e+06,1.10421e+07,8.4862e+06,32.0,32.0,1.10421e+07,8.48619e+06,1024.0
Layer:Site Plan$0$A-DOOR-EXT_WINDOWS,Site Plan$0$A-DOOR-EXT_WINDOWS,186,186,186,2,6,1.10421e+07,8.48591e+06,1.10421e+07,8.48594e+06,32.0,32.0,1.10421e+07,8.48592e+06,1024.0
Layer:Site Plan$0$A-HVAC-EXT,Site Plan$0$A-HVAC-EXT,186,186,186,22,60,1.10421e+07,8.48583e+06,1.10421e+07,8.48586e+06,36.0,36.0,1.10421e+07,8.48584e+06,1296.0
Layer:Site Plan$0$A-DOOR-EXT_WINDOWS,Site Plan$0$A-DOOR-EXT_WINDOWS,186,186,186,2,6,1.10421e+07,8.48569e+06,1.10421e+07,8.48572e+06,32.0,32.0,1.10421e+07,8.48571e+06,1024.0
Layer:Site Plan$0$A-HVAC-EXT,Site Plan$0$A-HVAC-EXT,186,186,186,22,60,1.10421e+07,8.48577e+06,1.10421e+07,8.4858e+06,36.0,36.0,1.10421e+07,8.48578e+06,1296.0
Layer:Site Plan$0$A-HVAC-EXT,Site Plan$0$A-HVAC-EXT,186,186,186,22,60,1.1042e+07,8.48536e+06,1.10421e+07,8.4854e+06,36.0,36.0,1.1042e+07,8.48538e+06,1296.0
Layer:Site Plan$0$A-DOOR-EXT_WINDOWS,Site Plan$0$A-DOOR-EXT_WINDOWS,186,186,186,2,6,1.10421e+07,8.4853e+06,1.10421e+07,8.48533e+06,32.0,32.0,1.10421e+07,8.48531e+06,1024.0
Layer:Site Plan$0$A-DOOR,Site Plan$0$A-DOOR,186,186,186,2,6,1.10415e+07,8.48612e+06,1.10415e+07,8.48615e+06,32.0,32.0,1.10415e+07,8.48613e+06,1024.0
Layer:Site Plan$0$A-DOOR,Site Plan$0$A-DOOR,186,186,186,2,6,1.10415e+07,8.48653e+06,1.10415e+07,8.48656e+06,32.0,32.0,1.10415e+07,8.48655e+06,1024.0
Layer:Site Plan$0$A-HVAC-EXT,Site Plan$0$A-HVAC-EXT,186,186,186,22,60,1.10443e+07,8.49036e+06,1.10443e+07,8.4904e+06,36.0,36.0,1.10443e+07,8.49038e+06,1296.0
Layer:Site Plan$0$A-DOOR-EXT_WINDOWS,Site Plan$0$A-DOOR-EXT_WINDOWS,186,186,186,2,6,1.10443e+07,8.49034e+06,1.10443e+07,8.49037e+06,32.0,32.0,1.10443e+07,8.49035e+06,1024.0
Layer:Site Plan$0$A-DOOR,Site Plan$0$A-DOOR,186,186,186,2,6,1.10443e+07,8.49094e+06,1.10443e+07,8.49097e+06,32.0,32.0,1.10443e+07,8.49095e+06,1024.0
Layer:Site Plan$0$A-HVAC-EXT,Site Plan$0$A-HVAC-EXT,186,186,186,22,60,1.10438e+07,8.49029e+06,1.10438e+07,8.49033e+06,36.0,36.0,1.10438e+07,8.49031e+06,1296.0
Layer:Site Plan$0$A-DOOR-EXT_WINDOWS,Site Plan$0$A-DOOR-EXT_WINDOWS,186,186,186,2,6,1.10439e+07,8.49032e+06,1.1044e+07,8.49035e+06,32.0,32.0,1.10439e+07,8.49033e+06,1024.0
Layer:Site Plan$0$A-DOOR,Site Plan$0$A-DOOR,186,186,186,2,6,1.1044e+07,8.4909e+06,1.1044e+07,8.49093e+06,32.0,32.0,1.1044e+07,8.49091e+06,1024.0
Layer:Site Plan$0$A-DOOR-EXT_WINDOWS,Site Plan$0$A-DOOR-EXT_WINDOWS,186,186,186,2,6,1.10437e+07,8.49032e+06,1.10437e+07,8.49035e+06,32.0,32.0,1.10437e+07,8.49033e+06,1024.0
